title,tconst
"Naked Gun: From the Files of Police Squad!, The (1988)",tt0095705
"Fish Called Wanda, A (1988)",tt0095159
Being John Malkovich (1999),tt0120601
"Edge, The (1997)",tt0119051
Indiana Jones and the Last Crusade (1989),tt0097576
Dragonheart (1996),
Blade (1998),tt0120611
Men in Black (1997),tt0119654
"Hollywood Knights, The (1980)",tt0080881
"Ghost and the Darkness, The (1996)",tt0116409
Evil Dead II (Dead By Dawn) (1987),
"Three Musketeers, The (1993)",tt0108333
Unforgiven (1992),tt0105695
"Rock, The (1996)",tt0117500
Young Guns (1988),tt0096487
Young Guns II (1990),tt0100994
Caddyshack (1980),tt0080487
Butch Cassidy and the Sundance Kid (1969),tt0064115
Crocodile Dundee (1986),tt0090555
Easy Rider (1969),tt0064276
"Mummy, The (1999)",tt0120616
Blazing Saddles (1974),tt0071230
Deliverance (1972),tt0068473
Indiana Jones and the Temple of Doom (1984),tt0087469
Monty Python and the Holy Grail (1974),
"Little Mermaid, The (1989)",tt0097757
"Fistful of Dollars, A (1964)",
Alien (1979),tt0078748
Die Hard (1988),tt0095016
Mad Max (1979),tt0079501
King Kong (1933),tt0024216
Jaws (1975),tt0073195
Predator (1987),tt0093773
"Good, The Bad and The Ugly, The (1966)",
Goldfinger (1964),tt0058150
"Terminator, The (1984)",tt0088247
Who Framed Roger Rabbit? (1988),
Gods and Monsters (1998),tt0120684
Delicatessen (1991),tt0101700
Clueless (1995),tt0112697
Natural Born Killers (1994),tt0110632
Velvet Goldmine (1998),tt0120879
Love! Valour! Compassion! (1997),tt0119578
Citizen Ruth (1996),tt0115906
Donnie Brasco (1997),tt0119008
"Maybe, Maybe Not (Bewegte Mann, Der) (1994)",
"Wings of the Dove, The (1997)",tt0120520
Bound (1996),tt0115736
Mrs. Dalloway (1997),
Bowfinger (1999),tt0131325
Before Sunrise (1995),tt0112471
Four Days in September (1997),
Naked (1993),tt0107653
Orlando (1993),tt0255451
"Bridge on the River Kwai, The (1957)",tt0050212
X-Men (2000),tt0120903
"Piano, The (1993)",tt0107822
Richard III (1995),tt0114279
"Negotiator, The (1998)",tt0120768
Pokémon the Movie 2000 (2000),
Seven (Se7en) (1995),
"South Park: Bigger, Longer and Uncut (1999)",
Pulp Fiction (1994),tt0110912
"Celluloid Closet, The (1995)",tt0112651
L.A. Confidential (1997),tt0119488
Cold Comfort Farm (1995),tt0112701
Priest (1994),tt0110889
Mansfield Park (1999),tt0178737
Ravenous (1999),tt0129332
"X-Files: Fight the Future, The (1998)",
Don Juan DeMarco (1995),
One False Move (1991),
Death and the Maiden (1994),tt0109579
Heat (1995),tt0113277
"Insider, The (1999)",tt0140352
Beautiful Thing (1996),tt0115640
Lone Star (1996),tt0116905
"Usual Suspects, The (1995)",tt0114814
Mighty Aphrodite (1995),tt0113819
Madonna: Truth or Dare (1991),tt0102370
Paris Is Burning (1990),tt0100332
Sleepy Hollow (1999),tt0162661
Speed (1994),tt0111257
Pump Up the Volume (1990),tt0100436
All About My Mother (Todo Sobre Mi Madre) (1999),
Rules of Engagement (2000),tt0160797
"Faculty, The (1998)",tt0133751
Pecker (1998),tt0126604
Joe Gould's Secret (2000),tt0172632
"Pillow Book, The (1995)",
Out of Sight (1998),tt0120780
Ghostbusters (1984),tt0087332
Liar Liar (1997),tt0119528
"Player, The (1992)",tt0105151
Crumb (1994),tt0109508
"Abyss, The (1989)",tt0096754
Creepshow (1982),tt0083767
Tender Mercies (1983),tt0086423
Good Will Hunting (1997),tt0119217
Topsy-Turvy (1999),tt0151568
Wilde (1997),tt0120514
Edward Scissorhands (1990),tt0099487
"Ice Storm, The (1997)",tt0119349
Night on Earth (1991),tt0102536
Trick (1999),tt0162710
Mystery Men (1999),tt0132347
Pi (1998),tt0138704
Twin Falls Idaho (1999),tt0162830
There's Something About Mary (1998),tt0129387
Go (1999),tt0139239
JFK (1991),tt0102138
Shaft (2000),tt0162650
Night of the Living Dead (1968),tt0063350
Wild Reeds (1994),
Falling Down (1993),tt0106856
Men With Guns (1997),
Living in Oblivion (1995),tt0113677
Go Fish (1994),tt0109913
Jackie Chan's First Strike (1996),
Henry: Portrait of a Serial Killer (1990),
Office Killer (1997),tt0119819
"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",
"Hand That Rocks the Cradle, The (1992)",tt0104389
"Talented Mr. Ripley, The (1999)",tt0134119
"Sweet Hereafter, The (1997)",tt0120255
Teaching Mrs. Tingle (1999),tt0133046
"Mosquito Coast, The (1986)",tt0091557
"Fast, Cheap & Out of Control (1997)",tt0119107
Strawberry and Chocolate (Fresa y chocolate) (1993),
"Poseidon Adventure, The (1972)",tt0069113
"River Runs Through It, A (1992)",tt0105265
"Hard 8 (a.k.a. Sydney, a.k.a. Hard Eight) (1996)",
Love and Death on Long Island (1997),tt0119574
Election (1999),tt0126886
Grosse Pointe Blank (1997),tt0119229
Fight Club (1999),tt0137523
All Over Me (1997),tt0118586
Tomorrow Never Dies (1997),tt0120347
Washington Square (1997),tt0120481
North by Northwest (1959),tt0053125
Gattaca (1997),tt0119177
Babe: Pig in the City (1998),tt0120595
Jackie Brown (1997),tt0119396
Jacob's Ladder (1990),tt0099871
Three Kings (1999),tt0120188
End of Days (1999),tt0146675
Casino (1995),tt0112641
Billy's Hollywood Screen Kiss (1997),
Smoke (1995),tt0114478
"Nightmare Before Christmas, The (1993)",tt0107688
Romy and Michele's High School Reunion (1997),tt0120032
"Incredibly True Adventure of Two Girls in Love, The (1995)",tt0113416
Happiness (1998),tt0147612
Austin Powers: International Man of Mystery (1997),tt0118655
Reservoir Dogs (1992),tt0105236
Howards End (1992),tt0104454
"Maltese Falcon, The (1941)",tt0033870
Kundun (1997),tt0119485
Final Destination (2000),tt0195714
Get Real (1998),tt0162973
Waiting for Guffman (1996),tt0118111
"Big Lebowski, The (1998)",tt0118715
Afterglow (1997),tt0118566
Little Voice (1998),tt0147004
My Life in Pink (Ma vie en rose) (1997),
Man Bites Dog (C'est arrivé près de chez vous) (1992),
"Mariachi, El (1992)",
Shanghai Noon (2000),tt0184894
Rushmore (1998),tt0128445
In the Company of Men (1997),tt0119361
Austin Powers: The Spy Who Shagged Me (1999),tt0145660
"Age of Innocence, The (1993)",tt0106226
Dick (1999),tt0144168
Big Night (1996),tt0115678
Fear and Loathing in Las Vegas (1998),tt0120669
"Opposite of Sex, The (1998)",tt0120777
"Madness of King George, The (1994)",tt0110428
Powder (1995),tt0114168
Anywhere But Here (1999),tt0149691
Bullets Over Broadway (1994),tt0109348
"Cruise, The (1998)",tt0150230
"Doors, The (1991)",tt0101761
"City of Lost Children, The (1995)",
Welcome to the Dollhouse (1995),tt0114906
Glengarry Glen Ross (1992),tt0104348
Nowhere (1997),tt0119809
54 (1998),tt0120577
Much Ado About Nothing (1993),tt0107616
Total Eclipse (1995),tt0114702
Wag the Dog (1997),tt0120885
Boys Don't Cry (1999),tt0171804
Metropolitan (1990),tt0100142
Misery (1990),tt0100157
"Crow, The (1994)",tt0109506
Twelve Monkeys (1995),tt0114746
Rosencrantz and Guildenstern Are Dead (1990),
High Art (1998),tt0139362
Bob Roberts (1992),tt0103850
But I'm a Cheerleader (1999),tt0179116
Babe (1995),tt0112431
Four Weddings and a Funeral (1994),tt0109831
Dead Man Walking (1995),tt0112818
Dead Man (1995),tt0112817
Romancing the Stone (1984),tt0088011
Top Gun (1986),tt0092099
Gone in 60 Seconds (2000),
Pete's Dragon (1977),tt0076538
Anastasia (1997),tt0118617
"Lion King, The (1994)",tt0110357
Murphy's Romance (1985),tt0089643
Moonstruck (1987),tt0093565
Jeremiah Johnson (1972),tt0068762
"Outlaw Josey Wales, The (1976)",tt0075029
To Gillian on Her 37th Birthday (1996),tt0117924
Pretty Woman (1990),tt0100405
Wyatt Earp (1994),tt0111756
"Other Sister, The (1999)",tt0123209
Arthur (1981),tt0082031
My Best Friend's Wedding (1997),tt0119738
"Mighty Ducks, The (1992)",tt0104868
Blue Hawaii (1961),tt0054692
Gypsy (1962),tt0056048
Tequila Sunrise (1988),tt0096244
Keeping the Faith (2000),tt0171433
"Patriot, The (2000)",tt0187393
Magnum Force (1973),tt0070355
Babes in Toyland (1961),tt0054649
Prizzi's Honor (1985),tt0089841
Roustabout (1964),tt0058534
"Room with a View, A (1986)",tt0707877
Emma (1996),tt0116191
"Apple Dumpling Gang, The (1975)",tt0072653
West Side Story (1961),tt0055614
"Straight Story, The (1999)",tt0166896
Legends of the Fall (1994),tt0110322
Sense and Sensibility (1995),tt0114388
Benny & Joon (1993),tt0106387
Dirty Dancing (1987),tt0092890
Casablanca (1942),tt0034583
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",
Paulie (1998),tt0125454
Peggy Sue Got Married (1986),tt0091738
Splash (1984),tt0088161
Out of Africa (1985),tt0089755
Grease (1978),tt0077631
Little Big League (1994),tt0110363
Witness (1985),tt0090329
Where the Heart Is (2000),tt0198021
Supercop (1992),
"Exorcist, The (1973)",tt0070047
Face/Off (1997),tt0119094
In the Line of Fire (1993),tt0107206
"Godfather: Part II, The (1974)",tt0071562
Elizabeth (1998),tt0127536
Mo' Better Blues (1990),tt0100168
Jerry Maguire (1996),tt0116695
"Truman Show, The (1998)",tt0120382
Philadelphia (1993),tt0107818
Batman: Mask of the Phantasm (1993),tt0106364
Dead Presidents (1995),tt0112819
Moll Flanders (1996),tt0117071
Mr. Saturday Night (1992),tt0104928
"Cider House Rules, The (1999)",tt0124315
Summer of Sam (1999),tt0162677
Private Parts (1997),tt0119951
Amistad (1997),tt0118607
Rob Roy (1995),tt0114287
Poetic Justice (1993),tt0107840
Waiting to Exhale (1995),tt0114885
Soul Food (1997),tt0120169
Anna and the King (1999),tt0166485
"Postino, Il (The Postman) (1994)",
Eyes Wide Shut (1999),tt0120663
Mighty Joe Young (1998),tt0120751
He Got Game (1998),tt0124718
Buffalo 66 (1998),
"Devil's Own, The (1997)",tt0118972
Dolores Claiborne (1994),
"People vs. Larry Flynt, The (1996)",tt0117318
Crimson Tide (1995),tt0112740
Hamlet (1996),tt0116477
Rudy (1993),tt0108002
William Shakespeare's Romeo and Juliet (1996),
"Firm, The (1993)",tt0106918
Deconstructing Harry (1997),tt0118954
Akira (1988),tt0094625
Ghost in the Shell (Kokaku kidotai) (1995),
Cyrano de Bergerac (1990),tt0099334
Chasing Amy (1997),tt0118842
"Prince of Tides, The (1991)",tt0102713
What Dreams May Come (1998),tt0120889
Heaven & Earth (1993),tt0107096
Midnight in the Garden of Good and Evil (1997),tt0119668
Six Degrees of Separation (1993),tt0108149
Street Fighter (1994),tt0111301
Hilary and Jackie (1998),tt0150915
"Misérables, Les (1995)",
Malcolm X (1992),tt0104797
Any Given Sunday (1999),tt0146838
"Bridges of Madison County, The (1995)",tt0112579
Interview with the Vampire (1994),
Alive (1993),tt0106246
Scent of a Woman (1992),tt0105323
"Inkwell, The (1994)",tt0110137
Taxi Driver (1976),tt0075314
Far and Away (1992),tt0104231
Cop Land (1997),tt0118887
"Godfather: Part III, The (1990)",tt0099674
Nixon (1995),tt0113987
What's Eating Gilbert Grape (1993),tt0108550
Beloved (1998),tt0120603
eXistenZ (1999),tt0120907
My Crazy Life (Mi vida loca) (1993),
True Romance (1993),tt0108399
Eve's Bayou (1997),tt0119080
Hard-Boiled (Lashou shentan) (1992),
Great Expectations (1998),tt0119223
High Fidelity (2000),tt0146882
"Red Violin, The (Le Violon rouge) (1998)",
"General's Daughter, The (1999)",tt0144214
"Adventures of Priscilla, Queen of the Desert, The (1994)",tt0109045
Apt Pupil (1998),tt0118636
Leaving Las Vegas (1995),tt0113627
Life Is Beautiful (La Vita è bella) (1997),
American History X (1998),tt0120586
Primary Colors (1998),tt0119942
Cruel Intentions (1999),tt0139134
Boogie Nights (1997),tt0118749
"Joy Luck Club, The (1993)",tt0107282
Robin Hood: Prince of Thieves (1991),tt0102798
Arachnophobia (1990),tt0099052
Nell (1994),tt0110638
"Mask, The (1994)",tt0110475
Clerks (1994),tt0109445
Boiler Room (2000),tt0181984
Meet the Parents (2000),tt0212338
"Time to Kill, A (1996)",tt0117913
Frequency (2000),tt0186151
Quiz Show (1994),tt0110932
"Wedding Singer, The (1998)",tt0120888
"Whole Nine Yards, The (2000)",tt0190138
Cape Fear (1991),tt0101540
Magnolia (1999),tt0175880
Searching for Bobby Fischer (1993),tt0108065
Romeo Must Die (2000),tt0165929
Swingers (1996),tt0117802
Star Trek: First Contact (1996),tt0117731
Sling Blade (1996),tt0117666
"Hurricane, The (1999)",tt0174856
Chicken Run (2000),tt0120630
Hollow Man (2000),tt0164052
"Perfect Storm, The (2000)",tt0177971
My Cousin Vinny (1992),tt0104952
"Wrong Trousers, The (1993)",tt0108598
Return to Paradise (1998),tt0124595
Wayne's World (1992),tt0105793
Contact (1997),tt0118884
"Grand Day Out, A (1992)",
Kolya (1996),
Mission: Impossible 2 (2000),
Trainspotting (1996),tt0117951
"Tango Lesson, The (1997)",tt0120275
"Skulls, The (2000)",tt0192614
Remember the Titans (2000),tt0210945
"Boat, The (Das Boot) (1981)",
When Harry Met Sally... (1989),tt0098635
"Cutting Edge, The (1992)",tt0104040
Hype! (1996),tt0116589
"Bronx Tale, A (1993)",tt0106489
"Midsummer Night's Dream, A (1999)",tt0140379
Defending Your Life (1991),tt0101698
Breaking Away (1979),tt0078902
"Prophecy II, The (1998)",tt0118643
Alien³ (1992),tt0103644
"Addams Family, The (1991)",tt0101272
Ever After: A Cinderella Story (1998),
"Honey, I Shrunk the Kids (1989)",tt0097523
Chinatown (1974),tt0071315
"Treasure of the Sierra Madre, The (1948)",tt0040897
"Naked Gun 2 1/2: The Smell of Fear, The (1991)",
Duck Soup (1933),tt0023969
Better Off Dead... (1985),tt0088794
Lost in Space (1998),tt0120738
American Graffiti (1973),tt0069704
Home Alone (1990),tt0099785
Ghost (1990),tt0099653
Teenage Mutant Ninja Turtles (1990),tt0100758
Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991),tt0103060
To Sir with Love (1967),
Blast from the Past (1999),tt0124298
Message in a Bottle (1999),tt0139462
Jumanji (1995),tt0113497
My Favorite Martian (1999),tt0120764
Batman Forever (1995),tt0112462
Sabrina (1995),tt0114319
Adventures in Babysitting (1987),tt0092513
Doctor Dolittle (1967),tt0061584
"Nutty Professor, The (1963)",tt0057372
Charlotte's Web (1973),tt0070016
Phenomenon (1996),tt0117333
Watership Down (1978),tt0078480
Michael (1996),tt0117038
Bram Stoker's Dracula (1992),
Arsenic and Old Lace (1944),
Superman (1978),tt0078346
Batman (1989),tt0096895
Pinocchio (1940),tt0032910
"Good Earth, The (1937)",tt0028944
Lethal Weapon 4 (1998),tt0122151
"Dark Crystal, The (1982)",tt0083791
"'burbs, The (1989)",
Fried Green Tomatoes (1991),tt0101921
Carrie (1976),tt0074285
"Journey of Natty Gann, The (1985)",tt0089385
"Jungle Book, The (1967)",tt0061852
Cool Hand Luke (1967),tt0061512
Spy Hard (1996),tt0117723
Mystery Science Theater 3000: The Movie (1996),tt0117128
Young Frankenstein (1974),tt0072431
Bachelor Party (1984),tt0086927
All Quiet on the Western Front (1930),tt0020629
"Rocky Horror Picture Show, The (1975)",tt0073629
Harry and the Hendersons (1987),tt0093148
Stargate (1994),tt0111282
"Santa Clause, The (1994)",tt0111070
Houseguest (1994),
Lady and the Tramp (1955),tt0048280
Fantasia (1940),tt0032455
High Noon (1952),tt0044706
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),
Peter Pan (1953),tt0046183
Somewhere in Time (1980),tt0081534
Pee-wee's Big Adventure (1985),tt0089791
"War of the Worlds, The (1953)",tt0046534
Heart and Souls (1993),tt0107091
"Producers, The (1968)",
Mallrats (1995),tt0113749
Star Trek: Generations (1994),tt0111280
Robin Hood (1973),tt0070608
Nine Months (1995),tt0113986
"NeverEnding Story, The (1984)",
Little Big Man (1970),tt0065988
"Rescuers, The (1977)",tt0076618
Trading Places (1983),tt0086465
Return from Witch Mountain (1978),tt0078158
"First Wives Club, The (1996)",tt0116313
Return to Oz (1985),tt0089908
Rear Window (1954),tt0047396
"Rocketeer, The (1991)",tt0102803
Being There (1979),tt0078841
Sleeping Beauty (1959),tt0053285
M*A*S*H (1970),tt0066026
Jack (1996),tt0116669
Little Shop of Horrors (1986),tt0091419
Escape to Witch Mountain (1975),tt0072951
Tom Jones (1963),tt0057590
Tommy Boy (1995),tt0114694
While You Were Sleeping (1995),tt0114924
Practical Magic (1998),tt0120791
Star Trek: The Motion Picture (1979),tt0079945
Beetlejuice (1988),
Star Trek: The Wrath of Khan (1982),
Star Trek III: The Search for Spock (1984),tt0088170
Sabrina (1954),tt0047437
Star Trek IV: The Voyage Home (1986),tt0092007
Batman Returns (1992),tt0103776
Roman Holiday (1953),tt0046250
Meet Me in St. Louis (1944),tt0037059
Old Yeller (1957),tt0050798
"13th Warrior, The (1999)",tt0120657
"Gold Rush, The (1925)",tt0015864
Homeward Bound: The Incredible Journey (1993),tt0107131
"Shaggy Dog, The (1959)",tt0053271
"20,000 Leagues Under the Sea (1954)",tt0046672
Hook (1991),tt0102057
Ace Ventura: Pet Detective (1994),tt0109040
Mixed Nuts (1994),tt0110538
Hero (1992),tt0104412
Miracle on 34th Street (1994),tt0110527
Citizen Kane (1941),tt0033467
2001: A Space Odyssey (1968),tt0062622
Alien Nation (1988),tt0094631
Mad Max 2 (a.k.a. The Road Warrior) (1981),
All About Eve (1950),tt0042192
Mad Max Beyond Thunderdome (1985),tt0089530
Cool Runnings (1993),tt0106611
"Cable Guy, The (1996)",tt0115798
"Godfather, The (1972)",tt0068646
Winnie the Pooh and the Blustery Day (1968),tt0063819
"Sword in the Stone, The (1963)",tt0057546
Trekkies (1997),tt0120370
Labyrinth (1986),tt0091369
"Corrina, Corrina (1994)",tt0109484
"Jewel of the Nile, The (1985)",tt0089370
Cocoon (1985),tt0088933
Tora! Tora! Tora! (1970),tt0066473
Willow (1988),tt0096446
"Affair to Remember, An (1957)",
Bedknobs and Broomsticks (1971),tt0066817
"Streetcar Named Desire, A (1951)",tt0044081
Alice in Wonderland (1951),tt0043274
Coneheads (1993),tt0106598
"Ghost and Mrs. Muir, The (1947)",tt0039420
Hamlet (1990),tt0099726
That Thing You Do! (1996),tt0117887
Naked Gun 33 1/3: The Final Insult (1994),tt0110622
Christmas Vacation (1989),
"7th Voyage of Sinbad, The (1958)",tt0051337
You've Got Mail (1998),tt0128853
March of the Wooden Soldiers (a.k.a. Laurel & Hardy in Toyland) (1934),
Scrooged (1988),tt0096061
It's a Wonderful Life (1946),tt0038650
Mr. Smith Goes to Washington (1939),tt0031679
Mr. Mom (1983),tt0085970
"Hard Day's Night, A (1964)",tt0058182
Battlefield Earth (2000),tt0185183
"Return of the Pink Panther, The (1974)",
Robin Hood: Men in Tights (1993),tt0107977
Romeo and Juliet (1968),tt0063518
Vacation (1983),
Escape from New York (1981),tt0082340
Patch Adams (1998),tt0129290
Mr. Holland's Opus (1995),tt0113862
"Dog's Life, A (1920)",
Ulee's Gold (1997),tt0120402
Tea with Mussolini (1999),
"Shop Around the Corner, The (1940)",tt0033045
Shampoo (1975),tt0073692
Everything You Always Wanted to Know About Sex (1972),
Lethal Weapon (1987),tt0093409
"Inspector General, The (1949)",tt0041509
Lethal Weapon 2 (1989),tt0097733
Aliens (1986),tt0090605
Gremlins (1984),tt0087363
12 Angry Men (1957),tt0050083
"Goonies, The (1985)",tt0089218
Lawrence of Arabia (1962),tt0056172
"African Queen, The (1951)",tt0043265
Excalibur (1981),tt0082348
White Christmas (1954),tt0047673
Help! (1965),tt0059260
"Philadelphia Story, The (1940)",tt0032904
Soylent Green (1973),tt0070723
"Pajama Game, The (1957)",tt0050814
Singin' in the Rain (1952),tt0045152
Private Benjamin (1980),tt0081375
From Russia with Love (1963),tt0057076
Sleepless in Seattle (1993),tt0108160
Fletch (1985),tt0089155
Sister Act (1992),tt0105417
Man on the Moon (1999),tt0125664
Galaxy Quest (1999),tt0177789
"Money Pit, The (1986)",tt0091541
Police Academy (1984),tt0087928
Cat on a Hot Tin Roof (1958),tt0051459
Back to the Future Part II (1989),tt0096874
Back to the Future Part III (1990),tt0099088
"Absent Minded Professor, The (1961)",tt0054594
Army of Darkness (1993),
Willy Wonka and the Chocolate Factory (1971),
Porky's (1981),tt0084522
Blade Runner (1982),tt0083658
Son in Law (1993),tt0108186
So I Married an Axe Murderer (1993),tt0108174
Wayne's World 2 (1993),tt0108525
"Boy Who Could Fly, The (1986)",tt0090768
Planet of the Apes (1968),tt0063442
FairyTale: A True Story (1997),tt0119095
"Simple Wish, A (1997)",tt0120133
My Dog Skip (1999),
Anne Frank Remembered (1995),tt0112373
G.I. Jane (1997),tt0119173
Dune (1984),tt0087182
"Blues Brothers, The (1980)",tt0080455
Monty Python's Life of Brian (1979),
"Bad Seed, The (1956)",tt0048977
Time Bandits (1981),tt0081633
Beneath the Planet of the Apes (1970),tt0065462
Buffy the Vampire Slayer (1992),tt0103893
"Way We Were, The (1973)",tt0070903
Star Trek: Insurrection (1998),tt0120844
Papillon (1973),tt0070511
Santa Claus: The Movie (1985),tt0089961
Field of Dreams (1989),tt0097351
Annie Hall (1977),tt0075686
Tron (1982),tt0384622
